Title,Location,Company,Job description,Employement Type
Data Scientist,"Montreal, Quebec, Canada",Clarifai,"About The Company

Clarifai is a leading, full-lifecycle deep learning AI platform for computer vision, natural language processing, LLM's and audio recognition. We help organizations transform unstructured images, video, text, and audio data into structured data at a significantly faster and more accurate rate than humans would be able to do on their own. Founded in 2013 by Matt Zeiler, Ph.D. Clarifai has been a market leader in AI since winning the top five places in image classification at the 2013 ImageNet Challenge. Clarifai continues to grow with employees remotely based throughout the United States, Canada, Argentina, India and Estonia.

We have raised $100M in funding to date, with $60M coming from our most recent Series C, and are backed by industry leaders like Menlo Ventures, Union Square Ventures, Lux Capital, New Enterprise Associates, LDV Capital, Corazon Capital, Google Ventures, NVIDIA, Qualcomm and Osage.

Clarifai is proud to be an equal opportunity workplace dedicated to pursuing, hiring, and retaining a diverse workforce.

Your Impact

As a Data Scientist you will do integral work that allows the expansion of model creation and validation activities in support of the Platform. This activity will raise the quality and number of models available in the Clarifai Platform.

The Opportunity

You will manage the development of labeled data sets
Develop machine learning models
Be responsible for the machine learning model performance
Document the development of models
Support client engagements for creating custom models

Requirements

Machine learning development experience
Data Exploration expertise
Python scripts and Jupyter notebook experience
SQL programming experience
Technical writing skills
Data Science analysis experience
Cloud computing skills (AWS, GCP)
College degree BS (computer science, math, physics)
Ability to work in North America time zones

Great to Have

Master of Science degree or higher
Experience with JupyterLab
Open source development experience
Github
Show less",Full-time
Data Scientist - Data Analytics and Infrastructure,"Toronto, Ontario, Canada",Ample Insight,"Company Description

You will join a world-class team of engineers and data scientists from Facebook, Uber, Amazon and Google. We are a fast growing consulting firm based in Toronto with clients ranging from leading startups building impactful technologies to Fortune 500 companies looking to scale their engineering and data capabilities.

Job Description

We are looking for Data Scientists who are passionate about analytics and using data to help drive business decisions. You enjoy working with structured and/or unstructured data and are motivated to produce highly actionable results. You are experienced in architecting data ETL workflows and schemas. Critical thinking and problem-solving skills are essential for this role.

Qualifications

BS (or higher, e.g., MS, or PhD) in Computer Science, Engineering, Math, or Statistics
Hands on experience working with user engagement, social, marketing, and/or finance data
Proficient in Python (i.e. Pandas, Numpy, scikit-learn, etc), R, TensorFlow, amongst other data science related tools and libraries
Extensive experience working on relational databases, designing complex data schemas, and writing SQL queries
Deep knowledge on performance tuning of ETL Jobs, SQL, and databases
Analytical mind and strong business acumen
Working knowledge of Snowflake
Devops experiences a plus

Additional Information

We have very competitive compensation.

Work on cool projects based on your interests and skills. We believe in accountability and NOT micro-management.
Show less",Full-time
Data Scientist,"Toronto, Ontario, Canada",Ample Insight,"Company Description

You will join a world-class team of engineers and data scientists from Facebook, Uber, Amazon and Google. We are a fast growing consulting firm based in Toronto with clients ranging from leading startups building impactful technologies to Fortune 500 companies looking to scale their engineering and data capabilities.

Job Description

We are looking for Data Scientists who are passionate about Machine Learning, and have deep knowledge in Statistics and Computer Science. You enjoy doing data science projects with structured and/or unstructured data and are motivated to productize scalable machine learning models. We will also rely on you to build data products to extract valuable business insights. Critical thinking and problem-solving skills are essential for this role.

Qualifications

BS (or higher, e.g., MS, or PhD) in Computer Science or related engineering field involving coding
Experienced implementing and scaling machine learning models in production environments
Strong understanding of machine learning theory
Hands on experience with Statistics
Capable of quickly implementing prototypes of cutting-edge research papers
Proficient in Python (i.e. Pandas, Numpy, scikit-learn, etc), R, TensorFlow, amongst other data science related tools and libraries
Analytical mind and strong business acumen

If you're passionate about data science and is hungry to learn, please apply!

Additional Information

We have very competitive compensation.

Work on cool projects based on your interests and skills. We believe in accountability and NOT micro-management.
Show less",Full-time
AI Scientist,Canada,Paige,"Paige is revolutionizing the way pathologists work by bringing confidence to cancer diagnosis. Our novel AI applications support pathologists in each step of the diagnostic process, offering unrivalled insights to transform cancer care.

Our AI is built on one of the largest and most diverse datasets in pathology, including data from over 1,000 institutions around the globe. This helped us to receive the first ever FDA approval for an AI product in pathology. Paige has also received FDA-clearance for our digital viewer, FullFocus®, and CE-IVD and UKCA clearance for our diagnostic AI in prostate and breast cancer.

Paige has created a single solution to labs’ biggest pain points, supporting them in delivering more efficient diagnoses to better support their patients. Our web-based software platform puts advanced digital pathology tools together with Paige and third-party AI into the hands of pathologists, while maintaining the highest security and safety standards.

Headquartered in New York with an expansive global footprint, Paige is developing and delivering a new generation of solutions to support labs of all shapes and sizes. Our team is guided by our mission to transform the world of cancer care and pioneer the path forward in the burgeoning industries of digital pathology and AI.

We are seeking an AI Scientist to join Paige’s AI Science team.

In this role, you’ll conduct publishable deep learning research using some of the largest digital pathology datasets in the world. You’ll be working to save lives by improving the accuracy of cancer detection, classification, biomarker prediction and treatment outcome.

This position can be fully remote for US-based candidates or candidates in Canada in the ET timezone.

Key Responsibilities

Work with our AI Scientists and Engineers to develop deep neural networks and integrate them into digital pathology software products
Conduct algorithm research to advance the digital pathology AI technology at Paige
Author top-tier journal and conference papers on your research at Paige
Attend conferences to present your work

About You

PhD degree in computer science or related field
Publication record in venues such as CVPR, ICCV, NeurIPS, TPAMI, ICLR IJCV, MICCAI, etc.
Expertise in deep learning, especially for computer vision
Prior industrial experience strongly preferred
Familiarity with HPC infrastructure and large-scale machine learning
Strong Python coding skills
Knowledge of deep learning toolboxes, pytorch preferred

Paige.AI is an equal opportunity employer. We are committed to building an inclusive and collaborative work environment that fosters trust, amplifies diverse perspectives, and empowers innovation. We make employment decisions based on the needs of our business and the qualifications of the individual and do not discriminate based upon race, color, religion, sex, pregnancy, gender identity, sexual orientation, parental status, national origin, age, disability, genetic information (including family medical history), political affiliation, military service, or any other status protected by the laws or regulations in the locations where we operate. We encourage candidates from all backgrounds and experiences to apply.

To request a reasonable accommodation, please let us know in your application or email us at careers@paige.ai.
Show less",Full-time
Data Scientist,Canada,eCapital Corp.,"About Us:
At eCapital, we are on a mission to ignite growth and empower businesses across North America and the U.K. by accelerating their access to capital. Our expertise and forward-thinking technology create customized, cutting-edge solutions for clients in over 80 industries. We are proud to have been named to the prestigious Inc. 5000 Fastest Growing Company list in 2023, recognized as a ‘Great Place to Work’ by the Secured Finance Network, and celebrated as a ‘Most Innovative Company’ by ABF Journal; all thanks to our dynamic team who are the cornerstone of our success.
To continue to innovate and find better solutions for our company and clients, we need bright minds, enthusiastic advocates, and savvy industry professionals. By joining our team, you will have the opportunity to unleash your potential, challenge yourself, and experience a rewarding culture with competitive salaries and unique employee benefits.
Are you ready to make an impact and help us shape the future of finance?
The Role:
eCapital is looking for a Data Scientist to join a growing Business Intelligence team. In this role, you will take the lead on developing and maintaining the end to end Machine Learning workflow. From building data pipelines using the latest cloud technologies to deploying models for consumption, you will collaborate with the infrastructure team to implement production ready solutions. You will have the opportunity to work on a variety of projects including OCR, credit risk modeling, client retention, sales forecasting, fraud detection, marketing recommendation systems. You will have the opportunity to directly influence the course of the business from day one as eCapital continues to leverage it’s volumes of data.
Responsibilities:
Independently design, test, deploy and maintain production Machine Learning models using established frameworks and CI/CD practices
Work on multiple concurrent projects, anticipate obstacles, and make high quality deliveries on an aggressive schedule
Work with data source teams, domain experts and data analysts to define data cleansing and data enrichment requirements
Stay up to date with industry standards and technological advancements that will improve the quality, productivity and performance of your work.
Provide support in a DevOps environment to monitor jobs and overall system performance.
Qualifications:
Bachelor's degree in computer science, engineering, mathematics, or a related technical discipline
Advanced degree (PhD) in Machine Learning, Data Science, AI, Computer Science, Computer Engineering, Electrical Engineering, Physics, Statistics, Applied Math or other quantitative fields
3-5 years working experience in data science/predictive analytics roles
Proven track record in modifying and applying advanced algorithms to address practical problems
Strong, hands-on technical familiarity with AWS ML technologies and tools
Significant experience in agile software development & continuous integration + continuous deployment methodologies along with supporting tools such as Git, Jira
Strong skill in communicating with users, other technical teams, and senior management to collect requirements, describe data modeling decisions and data engineering strategy
Nice to have:
Experience with Terraform, AWS CloudFormation or other infrastructure as code tools
What you will get:
We are a growing organization that thrives on delivering trusted financial services to help our clients succeed. Joining us will allow you to:
Work in a dynamic, collaborative, progressive, and high-performing team
Opportunities to do challenging work and grow
Make a difference and lasting impact
Show less",Full-time
Machine Learning Engineer,"Toronto, Ontario, Canada",Invision AI,"As a Machine Learning Researcher/Engineer, you will work on projects related to machine learning, image processing and real-time video processing. You will be responsible for projects aimed at expanding key capabilities in Object Detection, Image Classification, Geo-localized Tracking and Sensor Fusion, all deployed on edge devices.

We are a startup working on cutting-edge machine learning and computer vision. We have market leading products in autonomous rail systems, vehicle occupancy detection and camera analytics for smart cities. We strive to create accurate algorithms that solve our problems efficiently and in a principled manner. If you like solving interesting and challenging problems and writing clean and lean code, keep reading.

We hope to teach you as much as we will learn from you. We expect that you take initiative, ownership and demonstrate leadership. Our culture is open and collaborative. We need smart and creative people, People who love new initiatives, to improve, to learn from their mistakes.If this appeals to you, we would love to hear from you.

Key Responsibilities

Contribute to our core CV and ML technology (Object Detection, Geo-localized Tracking, Image Classification)
Contribute to building our CV and ML platform
Actively participate in technical planning meetings and daily standups
Be a part of peer reviewing code
Share knowledge with others

Requirements

Ph.D. or Masters in Machine Learning or related field
Experience with DNNs and CNNs
Experience with Image Processing, Computer Vision
Strong Python skills, C++ experience is a strong plus
Strong architectural / object oriented design skills
Good working knowledge of embedded systems

Beneficial

Experience with Neural Network Compression
Experience with Signal Processing
Experience with GPU Programming
Experience with Radar and Lidar

Benefits

Competitive compensation including equity
RRSP Plan
Health and dental
4 weeks holiday
Opportunity for growth
Show less",Full-time
Data Scientist,"Calgary, Alberta, Canada",ShyftLabs,"Position Overview:

Here at ShyftLabs, we are searching for an experienced Data Scientist who can derive performance improvement and cost efficiency in our product through a deep understanding of the ML and infra system, and provide a data driven insight and scientific solution.

ShyftLabs is a growing data product company that was founded in early 2020, and works primarily with Fortune 500 companies. We deliver digital solutions built to help accelerate the growth of businesses in various industries, by focusing on creating value through innovation.

Job Responsibilities:

Data Analysis and research: analyzing a large dataset with queries and scripts, extracting valuable signals out of noise, and producing actionable insights into how we could complete and improve a complex ML and bidding system.

Simulation and Modelling: validating and quantifying the efficiency and performance gain from hypotheses through rigorous simulation and modelling.

Experimentation and Causal Inference: developing a robust experiment design and metric framework, and providing reliable and unbiased insights for product and business decision making.

Basic Qualifications:

Master's degree in a quantitative discipline or equivalent.

Minimum of 3+ years professional experience.

Distinctive problem-solving skills, good at articulating product questions, pulling data from large datasets and using statistics to arrive at a recommendation.

Excellent verbal and written communication skills, with ability to present information and analysis results effectively.

Ability to build positive relationships within ShyftLabs and with our stakeholders, and work effectively with cross-functional partners in a global company.

Statistics: must have strong knowledge and experience in experimental design, hypothesis testing, and various statistical analysis techniques such as regression or linear models.

Machine Learning: must have deep understanding of ML algorithms (i.e. deep learning, random forest, gradient boosted trees, k-means clustering, etc.) and its development, validation, and evaluation.

Programming: experience with Python, R or other scripting language, and database language (e.g. SQL) or data manipulation (e.g. Pandas).

We are proud to offer a competitive salary alongside a strong healthcare insurance and benefits package. The role is preferably hybrid, with 2 days per week spent in office. We pride ourselves on the growth of our employees, offering extensive learning and development resources.
Show less",Full-time
Data Scientist with MI- Canada,"Toronto, Ontario, Canada",Zortech Solutions,"Role: Data Scientist with MI

Location: Canada/Remote

Duration: 6+ Months

Job Description

Research,identify,and analyze data to evaluate existing and potential trends
Good Exposure working with Business stakeholders on understanding Product Scope, Lifecycle and able to create Prototypes & Roadmap based on customer use cases
Create or use existing frameworks to test and validate new models
Apply statistical techniques to analyze data
Apply machine learning techniques to streamline data analysis

Skills/Experience Required

Strong background in data mining and statistical analysis
Experience developing Al/ML models using Python and open source frameworks like: sklearn, keras,pytorch, numpy,pandas
Ability to work with large amounts of data
Good Exposure to multiple SOL and NOSQL databases
Abilty to quickly learn and implement new data science algorithms
Experience with machine learning techniques and creat ng algorithms
Experience in any cloud environments (AWS, Azure, GCP)
Exposure to MLOps is added advantage.
Exposure to NLP concepts & implementation will be a good to have skill
Show less",Full-time
Machine Learning Engineer (Canada),"Toronto, Ontario, Canada",Tiger Analytics,"Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner.

We are looking for a motivated and passionate Machine Learning Engineers for our team.

As part of this job, you will be responsible for:

Providing solutions for the deployment, execution, validation, monitoring, and improvement of data science solutions
Creating Scalable Machine Learning systems that are highly performant
Building reusable production data pipelines for implemented machine learning models
Writing production-quality code and libraries that can be packaged as containers, installed and deployed

Requirements

Bachelor's degree or higher in computer science or related, with 5+ years of work experience
Ability to collaborate with Data Engineers and Data Scientist to build data and model pipelines and help running machine learning tests and experiments
Ability to manage the infrastructure and data pipelines needed to bring ML solution to production
End-to-end understanding of applications being created and maintain scalable machine learning solutions in production
Ability to abstract complexity of production for machine learning using containers
Ability to troubleshoot production machine learning model issues, including recommendations for retrain, revalidate, and improvements
Experience with Big Data Projects using multiple types of structured and unstructured data
Ability to work with a global team, playing a key role in communicating problem context to the remote teams
Excellent communication and teamwork skills

Additional Skills Required:

Python, Spark, Hadoop, Docker, with an emphasis on good coding practices in a continuous integration context, model evaluation, and experimental design
Test-driven development (prefer py. test/nose), experience with Cloud environments
Proficiency in statistical tools, relational databases, and expertise in programming language like python/SQL is desired

Good to have:

Knowledge of ML frameworks like Scikitlearn, Tensorflow, Keras, etc
Knowledge of MLflow, Airflow, Kubernetes
Knowledge on any of the cloud-native MLaaS offerings like AWS SageMaker, AzureML, or Google AI platform

Benefits

Significant career development opportunities exist as the company grows. The position offers a unique opportunity to be part of a small, fast-growing, challenging and entrepreneurial environment, with a high degree of individual responsibility.
Show less",Full-time
Data Scientist,"Toronto, Ontario, Canada",ShyftLabs,"Position Overview:

Here at ShyftLabs, we are searching for an experienced Data Scientist who can derive performance improvement and cost efficiency in our product through a deep understanding of the ML and infra system, and provide a data driven insight and scientific solution.

ShyftLabs is a growing data product company that was founded in early 2020, and works primarily with Fortune 500 companies. We deliver digital solutions built to help accelerate the growth of businesses in various industries, by focusing on creating value through innovation.

Job Responsibilities:

Data Analysis and research: analyzing a large dataset with queries and scripts, extracting valuable signals out of noise, and producing actionable insights into how we could complete and improve a complex ML and bidding system.

Simulation and Modelling: validating and quantifying the efficiency and performance gain from hypotheses through rigorous simulation and modelling.

Experimentation and Causal Inference: developing a robust experiment design and metric framework, and providing reliable and unbiased insights for product and business decision making.

Basic Qualifications:

Master's degree in a quantitative discipline or equivalent.

3+ years minimum professional experience.

Distinctive problem-solving skills, good at articulating product questions, pulling data from large datasets and using statistics to arrive at a recommendation.

Excellent verbal and written communication skills, with ability to present information and analysis results effectively.

Ability to build positive relationships within ShyftLabs and with our stakeholders, and work effectively with cross-functional partners in a global company.

Statistics: must have strong knowledge and experience in experimental design, hypothesis testing, and various statistical analysis techniques such as regression or linear models.

Machine Learning: must have deep understanding of ML algorithms (i.e. deep learning, random forest, gradient boosted trees, k-means clustering, etc.) and its development, validation, and evaluation.

Programming: experience with Python, R or other scripting language, and database language (e.g. SQL) or data manipulation (e.g. Pandas).

We are proud to offer a competitive salary alongside a strong healthcare insurance and benefits package. The role is preferably hybrid, with 2 days per week spent in office. We pride ourselves on the growth of our employees, offering extensive learning and development resources.
Show less",Full-time
